Form Title,Form Description,Section Number,Section Title,Section Description,Question,Question Description,Question Type,Required,Options,Option Notes,Section Navigation,Follow up Option,Parent Question,Follow Up Trigger,Correct Answer,Correct Answers
Customer Feedback,Collect detailed customer feedback and concerns,1,Feedback,Your feedback helps us improve,How satisfied are you with our service?,Rate your overall experience,radio,TRUE,"Very Satisfied,Somewhat Satisfied,Neutral,Dissatisfied,Very Dissatisfied",5-level satisfaction scale,,YES,,,
Customer Feedback,Collect detailed customer feedback and concerns,1,Feedback,Your feedback helps us improve,What was good about it?,Follow-up for satisfaction,text,FALSE,,Open-ended positive feedback,,,YES,How satisfied are you with our service?,Very Satisfied,
Customer Feedback,Collect detailed customer feedback and concerns,1,Feedback,Your feedback helps us improve,What specifically satisfied you?,Follow-up for satisfaction,radio,FALSE,"Product Quality,Customer Service,Pricing,Delivery Time,All of the Above",Multiple aspects,,,YES,How satisfied are you with our service?,Somewhat Satisfied,
Customer Feedback,Collect detailed customer feedback and concerns,1,Feedback,Your feedback helps us improve,What could we improve?,Follow-up for improvement,text,TRUE,,Specific improvement suggestions,,,YES,How satisfied are you with our service?,Dissatisfied,
Customer Feedback,Collect detailed customer feedback and concerns,1,Feedback,Your feedback helps us improve,How urgent is this issue?,Follow-up for improvement,radio,FALSE,"Critical,High,Medium,Low",Urgency level,,,YES,How satisfied are you with our service?,Very Dissatisfied,
Customer Feedback,Collect detailed customer feedback and concerns,1,Feedback,Your feedback helps us improve,Would you recommend us?,follow-up question,boolean,TRUE,,Yes or No,,,YES,How satisfied are you with our service?,Very Satisfied,
Support Ticket Form,Submit support request,1,Your Issue,Tell us about your problem,What's the main issue?,Describe the category,radio,TRUE,"Login Problem,Bug Report,Feature Request,Account Issue,Other",Problem categories,,YES,,,
Support Ticket Form,Submit support request,1,Your Issue,Tell us about your problem,Can you login?,Follow-up for login issue,radio,FALSE,"Can't login at all,Login fails sometimes,Wrong password error",Login specifics,,,YES,What's the main issue?,Login Problem,
Support Ticket Form,Submit support request,1,Your Issue,Tell us about your problem,What error message?,Follow-up for bug,text,FALSE,,Copy exact error message if available,,,YES,What's the main issue?,Bug Report,
Support Ticket Form,Submit support request,1,Your Issue,Tell us about your problem,Describe what's needed,Follow-up for feature,text,TRUE,,Detailed feature description,,,YES,What's the main issue?,Feature Request,
Support Ticket Form,Submit support request,1,Your Issue,Tell us about your problem,What account issue?,Follow-up for account,radio,FALSE,"Reset password,Email change,Delete account,Other",Account problems,,,YES,What's the main issue?,Account Issue,
Support Ticket Form,Submit support request,1,Your Issue,Tell us about your problem,Please describe,Follow-up for other,text,TRUE,,Any other issue not listed,,,YES,What's the main issue?,Other,
Support Ticket Form,Submit support request,1,Your Issue,Tell us about your problem,Which browser?,Follow-up question,radio,FALSE,"Chrome,Firefox,Safari,Edge,Other",Browser information,,,YES,What error message?,ERROR,
Product Survey,Gather product feedback with conditional questions,1,Product,Tell us about your experience,Which product do you use?,Select primary product,radio,TRUE,"Product A,Product B,Product C,Not a customer yet",Product categories,,YES,,,
Product Survey,Gather product feedback with conditional questions,1,Product,Tell us about your experience,How long using Product A?,Follow-up for Product A,radio,FALSE,"Less than 1 month,1-3 months,3-6 months,6+ months",Usage duration,,,YES,Which product do you use?,Product A,
Product Survey,Gather product feedback with conditional questions,1,Product,Tell us about your experience,Primary use case for Product A?,Follow-up for Product A,radio,FALSE,"Daily Operations,Reporting,Integration,Analytics,Other",Use cases,,,YES,Which product do you use?,Product A,
Product Survey,Gather product feedback with conditional questions,1,Product,Tell us about your experience,How long using Product B?,Follow-up for Product B,radio,FALSE,"Less than 1 month,1-3 months,3-6 months,6+ months",Usage duration,,,YES,Which product do you use?,Product B,
Product Survey,Gather product feedback with conditional questions,1,Product,Tell us about your experience,Primary use case for Product B?,Follow-up for Product B,radio,FALSE,"Daily Operations,Reporting,Integration,Analytics,Other",Use cases,,,YES,Which product do you use?,Product B,
Product Survey,Gather product feedback with conditional questions,1,Product,Tell us about your experience,Interested in learning more?,Follow-up for prospects,radio,FALSE,"Yes,No,Already using",Interest level,,,YES,Which product do you use?,Not a customer yet,
HR Feedback,Employee engagement survey,1,Engagement,General engagement feedback,Are you looking to leave in next 12 months?,Career stability,radio,FALSE,"Definitely yes,Probably yes,Not sure,Probably no,Definitely no",Career intentions,,YES,,,
HR Feedback,Employee engagement survey,1,Engagement,General engagement feedback,What's making you consider leaving?,Follow-up for departure risk,text,FALSE,,Reason for potential departure,,,YES,Are you looking to leave in next 12 months?,Definitely yes,
HR Feedback,Employee engagement survey,1,Engagement,General engagement feedback,Any other reasons?,Another follow-up,text,FALSE,,Additional reasons,,,YES,Are you looking to leave in next 12 months?,Probably yes,
HR Feedback,Employee engagement survey,1,Engagement,General engagement feedback,What could retain you?,Retention question,text,FALSE,,Specific retention factors,,,YES,Are you looking to leave in next 12 months?,Probably yes,
